Título,Estrelas,Comentarios
Parada obrigatória!,5,"Estivemos na unidade “restaurante” e foi tudo realmente incrível! Pedimos um Teriyaki e um Gratin, e ambos estavam maravilhosos! As sobremesas, Cocada Maria Bonita e Supreme de Pistache também deliciosas. O atendimento do J. Renato foi primoroso! Muito solícito, educado e simpático. A limpeza dos banheiros também estava ótima. Tudo de muitíssimo bom gosto, até os guardanapos são de qualidade. Se estiver visitando Natal, não deixe de ir."
Restaurante que faz juz à fama que quem!,5,"Tudo neste restaurante é perfeito! Desde a recepção, o ambiente, a culinária e o atendimento muito simpático e atencioso."
Excelente,5,"Bom dia. Excelente atendimento, a comida maravilhosa, e o garçom maravilhoso, satisfeita com a visita. O preço bem justo"
O melhor camarão da vida!,5,"Lugar impecável! Ótimo atendimento, comida saborosa e bem servida. Comemos dourado ao molho de camarão, com arroz e purê. Simplesmente uma explosão de sabor. De entrada pedimos o melhor pastel de camarão com catupiry que comemos! Esse é imperdível! O camarão desde restaurante é espetacular! Não importa o prato. É sempre bem servido, fresco, em bom tamanho e saboroso! Quem for a Natal não pode deixar de ir neste restaurante. É um clássico!"
Tem que colocar no seu roteiro,5,"Lugar incrível, ambiente agradável e MTA variedade de pratos. Funcionários super atenciosos e educados  Banheiro com trocador e limpinho"
Excelente pedida em Natal,5,"Não tem erro! Sempre uma excelente pedida. Pratos saboroso e bom atendimento. Ambiente agradável e sempre cheio de famílias. Se existe um ponto negativo, é a espera… sempre muita gente aguardando mesa, mas vale a pena."
Indico sem medo,5,Não erra nunca  Comida e atendimento excelente e boa quantidade  Ingredientes de primeira   Demorou a entrar tinha fila de espera  Mais correu tudo bem
Ótimo restaurante com preço justo,5,"Quem chega cedo bebe água limpa, já dizia o ditado popular. Os restaurantes Camarões são os mais bem avaliados e sugeridos pelos próprios moradores da cidade. Para não pegar fila, precisa chegar cedo. A refeição é feita rapidamente e a culinária é excelente. Bom atendimento e preço justo. Muito mais gostoso que qualquer coco bambu e  Camarada Camarão que comi em Fortaleza. Ótima experiência."
O mais bem afamado da região,5,"O Camarões é referência e sempre sugerido por todos, quando se fala que irá conhecer Natal. Fomos jantar num sábado, dia bem concorrido. No restaurante que fica próximo à praia, o tempo de espera na fila chegava a 50 minutos. Decidimos então ir na filial que fica na Av. Engenheiro Roberto Freire, a cerca de 300 metros de distância.  Grata surpresa: sem filas. Fomos muito bem atendidos, com rapidez e cordialidade. Há uma grande variedade de pratos, bem saborosos. Optamos pela especialidade da casa e não nos arrependemos. A frequência do restaurante, em sua maioria, é de famílias e percebe-se que é muito escolhido para ocasiões especiais e para causar boa impressão. Os preços estão dentro do aceitável. Consideramos até barato, pois em nossas viagens pela região sudeste costumamos pagar caro apenas pela aparência. O Camarões, além do belo ambiente e cozinha afamada, não explora os clientes. Há oferta de estacionamento para clientes, uma cortesia bem-vinda. Altamente recomendado."
Um clássico obrigatório para ir em Natal,5,"Cardápio com personalidade, pratos fartos, ótimo lugar, excelente atendimento com um custo benefício que justifica recomendar e voltar muitas vezes sempre que estiver em Natal."
Recomendo,5,Muito bom! Vale a pena a visita!       Não desejo escrever 100 caracteres Gostei do restaurante mas não gostei da exigência da avaliação
Melhor de Ponta Negra !!!,5,"Lugar Maravilhoso com tudo de bom.... Experiência que todo mundo que visita Ponta Negra deve ter.... Além do local que é bem organizado, bonito, limpo e tem um ótimo serviço. Os preços são justos se voce comparar com os valores gastos em passeios nas praias. Sabor da comida é espetacular !!!! Voce que vem para Ponta Negra precisa ter essa experiência !!!!!!"
Pratos maravilhosos,5,"O Camarões é muito bom, os pratos são excelentes e o preço é justo Dependendo do horário tem uma fila de espera, mas vale a pena Todas as vezes que venho para Natal faço questão de visitar"
A excelência de sempre,5,"Já um clássico. Inúmeras opções de Camarões, de peixes e de frutos do mar. Recomendo o Dourado com arroz sete grãos e purê de banana  da terra.  Para os camarões em si, o Ponta Negra, o Cabugi e o Internacional são clássicos, mas ontem comemos o Flor de Sal, simplesmente espetacular.  CUIDADO: os pratos são ENORMES e dão, com folga, para duas pessoas. O Internacional, pelo menos para três.  Ontem estávamos em seis, pedimos três pratos e com bebidas e ainda as embalagens para levar o que sobrou (que serviria mais uma pessoa), gastamos 390 reais…. O Camarão Dom Alfredo, servido em cima de um fettuccine molho Alfredo, estava espetacular. Muito, mas muuuuito camarão grande. Tinha mais camarão que macarrão 😂😂😂.  A curiosidade é que foi deste restaurante que surgiu o Coco Bambu, que levou um de seus cozinheiros e copiou o cardápio. Mas o original mesmo, que é o Camarões, ainda segue melhor e com mais opções de pratos. Vale muito a pena."
Olha…vou arriscar dizer que foi um dos melhores da minha vida!!,5,"Na minha passagem por Natal eu tinha alguns desejos. Já tinha ido ao Camarões em São Paulo ,mas tinha o sonho de ir no de Natal. Assim como outras franquias de outros restaurantes espalhadas pelo Brasil ,fica sempre a vontade de ir na Matriz , que aparentemente e na maioria das vezes ,surpreende pra quem já gosta das filiais. Fui num dia de semana ,mas fiz reserva pela internet por estar num grupo grande! Aí já a primeira grande resposta. Tudo muito organizado ,sem burocracia e chegou um dia antes a confirmação por parte do restaurante demonstrando profissionalismo e atenção. Restaurante fisicamente é lindo! Chique e pomposo. Algumas opções de cachaças logo na entrada e a educação da host. Os garçons educadíssimos e super treinados pra agradar os clientes. Comida sensacional ,veio muito rápida ,farta e num preço abaixo da média!! Drinks e sobremesas sensacionais. Quem gostar de uma cervejinha mais forte vale provar a própria deles! Fiz questão de fotografar parte da equipe ,porque todo trabalhador vive com seus vencimentos ,mas um retorno de como o seu trabalho está sendo bem feito ajuda a valorizar o seu ego e sua reputação perante aos seu empregador. De zero a dez eu dou 12 de tão sensacional que foi."
Não vale a pena.,3,"Super sem graça e o pessoal faz uma tremenda propaganda de lá. A gente chega com uma enorme expectativa e sai decepcionado. Tempero muito fraco, sem sal, camarão sem gosto. Não vale a pena mesmo!"
Esperava mais.,3,"Ambiente Ok, atendimento mais ou menos, lagosta com palmito, molho branco e parmesão não agradou ao nosso paladar. Preço mediano. Em uma outra ocasião quem sabe, darei mais sorte na escolha do prato."
Médio pra fraco,3,"Uma pena q estejam virando pega turista, virou um Coco Bambu, começamos pelo prato kids q teve q voltar as fritas estavam frias, aí depois o garçom já me aparece com o nosso prato disse q tinha entendido q era o q tinha sugerido sendo q eu nem tinha conseguido terminar de ver todo o cardápio, aí pra não voltar resolvemos ficar com o prato, mas tb devolvemos peixe estava morno pra frio, horrível, aí já q ia voltar pedimos para trocar um q fosse de nosso agrado, aí em 10 minutos já chega, impressão q estava pronto e só foi esquentado tipo fast-food  O garçom queria ser tão prestativo q o coitado chegava a ser chato, a cada 2 minutos vinha perguntar se estava tudo do agrado Enfim me arrependi d ter ido, dias contados para um restaurante q já foi muito bom, virou comercialzão pega turista"
Pode ir que não vai se arrepender,5,"Sem dúvida se vier a Natal tem que conhecer, pedimos uma muqueca e estava muito boa. Sempre lotado mas o local de espera tem mesinhas e é um ambiente bem agradável."
Péssimo,1,"Pela segunda vez decepcionante. Pedimos um camarão imperial . O camarão era pequenino. Só tinha farinha dento..e amido de milho..dizian que era catupiry .. acompanhava arroz cheio de bacon que não combina com camarão .. pior ainda. Muito carregado. Pedimos escondidinho..muito forte..e enjoativo..nada de leve.. salada de entrada.. com mussarela de bufala..que não era, tomate seco da salada passado  Saímos enjoados ..e pior.. conta 280.00.."
Almoço no camaroes,5,"Comida deliciosa, pratos variados que vão de camarão/frutos do mar até carne pra quem não pode ingerir. excelente custo benefício. Atendimento e estrutura excepcional."
Fantástico,5,"No primeiro dia fui no jantar naquele due fica do lado da orla de Ponta Negra, maravilhoso, amei o lugar, o atendimento, hj fui no que fica ao lado do hotel Praiamar, excelente também"
Tudo muito bom,5,"Comida fresca e saborosa! Caipirinha de cajá é surreal de bom, os demais pratos também são surreal de bom com um preço não tão caro!"
Excelente restaurante,5,"Restaurante simplesmente perfeito! A melhor sobremesa que já comi, simples e deliciosa! Recomendo para todos a Romeu e Julieta."
Uma experiência fantástica,5,"Comida espetacular.  Prato farto, o para duas pessoas,  dá para comer bem. Ótima opção para almoço ou jantar. Atendimento diferenciado. Desde a recepção até os garçons,  super atenciosos."
Grata surpresa,5,Esse restaurante é muito bom!!!!Custo benefício excelente!!!Pratos muito saborosos!!Super indico porque se eu voltar em Ponta Negra vou novamente
Bem abaixo do Potiguar,2,"Fui ao Camarões comemorar o aniversário de um amigo, em um quinta. Tinha umas 20 pessoas na mesa e o atendimento deixou a desejar. Além disso, pedi um prato (serido, eu acho) e nunca tinha comido um prato que não gostei nos demais Camarões. Pedi entrada e estava ótima. Enfim, comparando aos demais, deixa muito a desejar.  O principal foi uns 160 para três, a entrada 27 era um couvert."
Restaurante Top em Natal,5,"Comida boa, preço camarada (camarão p/2ps R$120) e ambiente muito legal.  Minha comida preferida é a porção de camarão com gergelim Em Natal são 2 restaurantes da mesma rede, ficam pertinho um de outro, na Ponta Negra, tem que ir nos 2"
EXCELENTE,5,"RESTAURANTE MARAVILHOSO. CONFORTO, QUALIDADE E ATENDIMENTO DE EXCELÊNCIA. SUPER INDICO PARA QUALQUER EVENTO OU ÉPOCA DO ANO."
Muito bom!,4,"Restaurante muito bonito, imponente e com cardápio variado. Pratos muito bem servidos e preço melhor ainda. Porém como é grande, o barulho também é. Excelente para reunir família e amigos, mas para um casal que procura um ambiente mais calmo e intimista não recomendo. Fora isso o restaurante é ótimo!"
Comida e ambiente maravilhosos!,5,Comida e ambientes maravilhosos! Mas o negócio é chegar cedo porque fica muuuuito cheio. Mas vale muito a pena a experiência!
Jantar perfeito,5,"Atendimento impecável, ambiente agradabilíssimo e comida incrível, melhor restaurante de Natal. O tempo de espera é o prazo um drinque."
Recomendado com empenho,5,"Restaurante com um serviço impecável. Comida deliciosa, e tudo muito bem cuidado para encantar o cliente. A decoração do ambiente é aconchegante."
Esplêndido!,5,"Esplêndido, tudo perfeito, atendimento nota mil do Fábio , pedidos rápidos e deliciosos e preço muito acessível! Vale muito a pena!"
Almoço,4,Quase tudo perfeito. Só esqueceram meu brownie no balcao Mas tudo bem. Comida boa. Bebida ok. Acho que só um treinamento para os garçons resolve algumas questões.
Faz jus a Fama que tem!,5,"Divinoooo!!! Comida muito saborosa, ambiente lindíssimo, atendimento impecável e o preço justo! Vale muito a pena!!"
Não vale a pena,1,"A comida não é saborosa e as fotos da publicidade local (equivalente ao cardápio) não corresponde a realidade. Fui dois dias seguidos, pois imaginei que poderia ter dado azar na primeira vez, mas o primeiro dia pedi um prato de camarão, que veio muito bem servido de macarrão, mas pouquíssima proteína e um sabor neutro. Segundo dia pedi um file, mas veio de forma decepcionante."
Melhor Risoto,5,Risoto de Camrão - muito bem servido para 2 pessoas. Ambiente calmo  Prato não demorou a chegar e o garçom que nos atendeu foi muito simpático.
decepção de peixe .,4,"não vinha a esse restaurante a mais de 20 anos ,me decepcionei um pouco pois gostaria de comer um peixe bom com molho de camaroes, quando falo bom falo em badejo, cherne, garoupa, mero ou linguado . o que tinha era tilapia e um outro que não me me lebro mas de carne vermelha. me contetei com um prato de polvo que não estava ruim, mas lamentei o fato de não ter um bom peixe."
Excelente! Vale a pena!,5,Execelente atendimento! Um cardápio refinado e saboroso! Voltarei pra Minas recomendando! Preço justo! Cardápio variado!
Variedade de sabores e alta qualidade,5,Comida maravilhosa com diversidade no cardápio. Daqueles que você fica em dúvida de qual escolher entre tantas opções boas. Agradecimento ao Robson Ferreira que me atendeu super bem e deu ótimas sugestões para meu jantar. Os drinks também são ótimos e a comida chegou bem rápido. Recomendo.
Cumpre o que promete,5,"Em viagem anterior nos recomendaram o restaurante. Porém, não tivemos tempo. Desta vez conseguimos e foi muito bom ter reservado este tempo. Lugar extremamente agradável. Atendimento excepcional do Vinicius. Cardápio delicioso e preço justíssimo."
Excelente,5,"Muito bom!  Atendimento perfeito, comida impecável. Estivemos em Natal por 2 noites e nas duas jantamos no Camarões de tão bom. Experimentamos o camarão imperial, camarão do chef, escondidinho de carne seca e uma torta com pistache, tudo muito bom e saboroso.  Os pratos são bem servidos, o tamanho para 2 serve bem 3 pessoas.  Estão de parabéns!!!"
Espetacular,5,Restaurante super aconchegante com um cardápio amplo e cheio de sabor…. Porções e pratos super bem servidos. Atendimento impecável e preço justo.
Excelente!!!,5,"Não é a toa que esse é o restaurante mais recomendado de Natal!Ambiente lindo e aconchegante, funcionários muito educados(em especial o Fábio,que nos atendeu) e comida espetacular.Pedimos de entrada Camarão Caprese e prato principal o Camarão Gratin,ambos deliciosos.Preço justo pelo serviço impecável.Voltaremos,com certeza!"
Maravilhoso,5,"Restaurante maravilhoso, comida impecável e atendimento perfeito. Eu jantei 3 vezes lá em uma viagem de 5 dias. E indico muito."
Restaurante excelente,5,"Atendimento rápido e eficaz, como fomos na época de carnaval não estavam reservando mesmas, porém, chegamos às 19:30h e não tivemos que esperar para sentar. Saímos do restaurante por volta das 21:00h e percebemos que haviam inúmeras pessoas esperando. Portanto, cheguem cedo caso não queiram esperar.  A comida é de excelente qualidade e muito bem servida. Valor justo!   Só tirei foto da sobremesa, muito boa"
Atendimento perfeito,5,O atendimento super atencioso desde a moça do primeiro atendimento até os garçons super gente boa e atentos Vale muito a pena o preço pago
Tudo excelente,5,"Tudo excepcional. Da entrada de dadinho de canarao, prato principal super saboroso, a cocada de sobremesa das melhores.. Um jantar irrepreensível. Com preço bom."
Comida saborosa,5,"Minha mãe e eu pedimos o prato Canto do Mangue ( camarões com arroz de caranguejo) para 2 pessoas.  Serve 3 pessoas tranquilo.  Comida muito saborosa, atendimento maravilhoso, ambiente super gostoso."
Ótimo lugar,5,"O lugar é incrível, tem um ótimo atendimento, como também tem um excelente ambiente. Além disso, as comidas são deliciosas e muito bem preparadas."
Imperdível!,5,"Um dos melhores camarões que já comi na vida! Fui na unidade da praia de Ponta Negra. Tinha fila de espera, então chegue o quanto antes pra não esperar muito. Atendimento rápido e comida sensacional. Pena que não tem na minha terra natal, vai fazer falta..."
Imperdível!,5,"Fui na unidade do shopping Natal e é um self service espetacular. Tudo da melhor qualidade, camarão espetacular. Nada além para declarar, apenas recomendo a ida."
PERFEITO! Super recomendo!,5,"Tudo perfeito! Atendimento nota millllll garçom Fábio , nossa sem palavras de tanto elogio ao atendimento dele. Comida MARAVILHOSA! Tudo muito rápido.  Show"
Melhor camarão!!!!,5,"melhor restaurante para comer camaroes em Natal, comida deliciosa, atendimento maravilhoso e preco justo.Unico problema sao as filas imensas, o que 'e justificado pela qualidade e localizacao em Ponta negra."
Comida farta e ótimo custo-beneficio,5,"O restaurante é cheio, com razão. A comida é deliciosa, os pratos são fartos e com ótimos preços. Apesar de indicar que serve duas pessoas, dá para comer tranquilamente em quatro. Comemos um prato de risoto e camarões  graúdos empanados, recheados com catupiry. Recomendo e com certeza voltaria."
Um clássico de Natal,5,O restaurante serviu de inspiração para o Coco Bambu e o Nau. Os pratos têm sabor e são muito bem servidos e são mais baratos dos que os outros restaurantes.  O serviço é excelente
Noite espetacular,5,"Comida saborosa e gostosa, o camarão  internacional  tava uma delícia. Fomos com outros amigos (casais) e todos saimos satisfeitos"
Sem comentários. O melhor restaurante de Natal!!,5,"Super recomendado. Local limpo e aconchegante. Comida muito saborosa. Atendimento cordial e exclusivo. O ponto final fica com a beleza do banheiro que demonstra a qualidade do local. Se o banheiro é limpo, pode conferir a cozinha sem medo."
Qualidade e preço justo!!!,5,"De entrada croquetes e pastel de camarão..Prato principal camarão empanado com Catupiry.  Prato para 2 pessoas (comemos em 3 e daria para 4)!!! Muito saboroso, ambiente agradável!!! Cheguem cedo pois as mesas são muito concorridas."
Comida maravilhosa!,5,"Foi uma experiência ótima. Ambiente lindo, porém bem frio, inclusive o local dispõem de coberta pra criança. Tudo o que pedimos veio muito bem servido, gostoso e rápido. Equipe super bem treinada. Parabéns!"
Melhor de Natal,5,"Gostamos tanto que repetimos. Ótima localização, atendimento impecável e porções generosas, a preços justos. Excelente opção na cidade."
Vale muito a pena. Recomendado.,5,"Local muito bonito e bem decorado. Funcionários atenciosos. Na espera tem umas frutas pra se servir que achei bem interessante. Pratos muito saborosos, caprichados. Não deixe de ir."
Espetacular,5,"Excelente, perfeito. Localização, ambiente, funcionários, comida. Tudo lá é bom demais. Muito profissionais. Vir a Natal e não passar lá é um pecado."
Maravilhoso!,5,"Maravilhosoooo! Atendimento excepcional, tempo curto de espera, comida deliciosa! Super recomendo, pedimos uma entrada, prato principal e sobremesa, e tudo estava ótimo!"
Almoço no Camarões,5,"Estivemos no restaurante hoje, 11/1/2024, no período do almoço.  Fomos por indicação já que estamos curtindo uma viagem de férias pelas praias do Rio Grande do Norte.  Estava tudo impecável: atendimento, ambiente, música, comida e bebida.   Achamos o preço justo e os pratos são bem servidos!   Pedimos de entrada o camarão ponta negra (recheado com catupiry - estava divino) e de prato principal Camarão Dijon, fechamos com a sobremesa da cocada com sorvete de tapioca (maravilhosa).  Com certeza indicamos!"
Excepcional,5,"Bom atendimento, comida muito gostosa e mesmo com o elevado número de clientes no estabelecimento, não houve demora na entrega do pedido, fiquei de fato surpreso."
Delicioso!,5,"Delicioso! Pedimos Bruscheta potiguar e croquete de camarão para nossa entrada, seguido de camarão Seridó. Tava de Romeu e Julieta como sobremesa. Tudo muito delicioso. Voltaremos novamente para experimentar novos sabores."
Razoável,3,"Para mim, o lugar tem muito status e não entrega tudo o que propõe. Já fui em restaurantes com pratos muito melhores, inclusive, em cidades não litorâneas,  A espera por uma mesa, de 1h30, definitivamente não compensa.  O chá de hibisco é terrível, não peçam rs"
INCRÍVEL!,5,"Nota mil! Comida incrível, preço justo, porções fartas, atendimento impecável pelo garçom Robson. Pedimos o camarão no pão italiano com molho de queijos e o pastel de camarão de entrada. Foi perfeito! Sem palavras, melhor camarão que já comi na vida."
Primeiro jantar de 2024,5,"No dia primeiro de janeiro fomos jantar neste restaurante por conta de avaliações positivas no tryp. Chegamos às 18 e 30 e já haviam muitas pessoas esperando, mas com uns 10 minutos já fomos direcionados a uma mesa. Pedimos de entrada um pastel de carne seca c queijo o qual estava excepcional. De prato principal pedimos camarão seridó, prato c gostinho de Nordeste, muito gostoso. Para sobremesa fomos de cocada c sorvete de tapioca. Comida saborosa e atendimento atencioso e cortês. Custo benefício excelente, considerando a qualidade da comi e preços justos. Ambiente amplo e bem localizado. Voltaríamos!!!!!"
Restaurante excelente,5,"A comida é divina! Custo benefício ótimo, super em conta para a comida maravilhosa que oferece! Fica bem cheio, então é bom chegar cedo"
Vale a visita,5,"Comida boa, atendimento impecável e pratos muito bem servidos. Visitamos no mês de dezembro então aguardamos a mesa por uma hora mas valeu a pena. Vale a visita quando estiver na região."
Excelente,5,"Local excelente, ótimo atendimento, comida perfeita! Atendente Alyson super educado e nos atendeu ótimo!"
Sempre maravilhoso!,5,"Atendimento e comida maravilhosos. Chegamos perto das 19h, por isso, não precisamos esperar. Vale muito a pena. Preço justo e ótima qualidade."
Excelente escolha em Natal,5,"Comida muito saborosa, com opções de pratos com sabor bem exótico e atendimento nota 10! Voltaremos sempre que estivermos em Natal!"
Restaurante em Natal,5,"Excelente opção de almoço! Prato para 2 pessoas muito bem servido, atendimento muito bom da equipe de garçons, preço na faixa esperada para um restaurante com a qualidade e atendimento."
UMA OPÇÃO BOA,4,"Já conhecia e por isso retornei. Creio que já foi melhor. O atendimento permanece excelente, mas os pratos caíram de qualidade. Em uma mesa com 8 pessoas, 5 acharam que podia ser melhor. Eu tive essa impressão, embora não se possa dizer que é ruim."
Experiência maravilhosa,5,"Experiência maravilhosa! Ótimo serviço, comida perfeita e preços correspondentes a qualidade. Saímos daqui com uma ótima impressão."
Excelente,5,"Esse restaurante é um combo de coisas maravilhosas. A comida é excelente, o atendimento também, e o ambiente da mesma forma. Todos que vierem a Natal precisam ir lá. Até o preço é sensacional, pois vale cada centavo. Venham preparados pra comer, pois em um casal, pedimos uma entrada (Ceviche) e prato pra dois de Camarão Imperial e sobrou muito! Mesmo a gente comendo super bem! Não tivemos espaço pra sobremesa, mas saímos encantados. Ótimo atendimento do garçom Dário. Espumante da casa excelente também! Voltaria muito! Parabéns!"
Experiência imperdível!!!!!!,5,"Local SENSACIONAL!!!! Comida maravilhosaaaaa, super bem servida e a sobremesa foi algo que nunca na vida tinha experimentado! “Taça de Romeu e Julieta”! Super recomendo!!!  O garçom Fábio foi super gentil e simpático! Experiência incrível! 🤍"
Excepcional,5,"Atendimento muito bom, além da comida maravilhosa e custo benefício bom. Tivemos uma experiência incrível no local. Com certeza voltaríamos."
EXCELENTE,5,"EXCELENTE LOCAL. EXECELENTE ESTRUTURA, COMIDA DE QUALIDADE E ÓTIMO ATENDIMENTO. SUPER INDICO PARA QUALQUER EVENTOU EM QUALQUER ÉPOCA DO ANO"
Frutos do mar e no Camarão,5,Local maravilhoso e a comida excelente! O atendimento não poderia ser melhor! Fomos recebidos pelo Fábio que foi impecável! A experiência foi tão boa que retornamos dois depois!!!
Experiência incrível de ponta a ponta!,5,"Restaurante incrível! Desde o atendimento, espaço, comida… não tenho algo que eu consiga reclamar, nem mesmo o preço! Recomendo super"
Comida boa e garçons atenciosos.,5,"Restaurante muito bom, ambiente amplo e confortável, garçons simpáticos e prestativos. Comida saborosa. Pratos vieram rápido,"
Experiência incrível.,5,"Atendimento perfeito, local climatizado e comida acessível. Garçons totalmente solícitos e gentis, sempre dispostos a nos atender. Saí do Rio com indicações para conhecer o Camarões, agora entendi o motivo. Indico demais!"
Melhor Restaurante,5,"Para mim o melhor restaurante de Natal, e o melhor camarão Internacional que já  provei. Atendimento excelente rapidez e agilidade , pratos  bem servidos pedimos um para 4 pessoas e até sobrou. E uma das coisas que fiquei surpresa foi com os valores dos pratos ( no site voce consegue acessar o cardapio com os valores) comi em lugares em Natal que não valeu o preço e esse com certeza sai satisfeita em todos os sentidos."
Restaurantes bem falados,5,"Comida: Pratos extremamente bem servidos, muito bom, vale toda a fama que tem !  Ambiente: Organizado e agradável.  Serviço: Ótimo atendimento."
Camarões em Natal,5,"Restaurante muito bom, preço justo e sobremesa incrível! Foram rápidos do atendimento a finalização dos pratos. Comida deliciosa"
Camarão,5,"Comida muito boa e o prato para 2 pessoas deu sem problemas para 3 . Qualquer prato de camarão vale a pena e pastel de camarão de entrada super saboroso e recheado , o de carne de sol estava meio seco . No geral ambiente e comida nota 10"
Atendimento e sabor,5,"Atendimento excelente do garçom Jackson! O prato principal estava divino a sobremesa Romeu e Julieta estava normal, apenas ok."
Maravilhoso!!!,5,Excelente escolha. Restaurante muito bonito com funcionários gentis. Comida de excelente qualidade. Preços justos.
EXCELENTE,5,"Uma palavra resume tudo: EXCELENTE! Luxuoso, bom gosto, saboroso, custo justo para o que oferecem e estacionamento grátis. Bom demais!"
Imperdível,5,"Imperdível. Indo à Natal não deixe de jantar no Restaurante Camarões. Excelente atendimento, ambiente muito agradável e comida sensacional."
