Coments_norm,Polaridade,Estrelas,Classificacao_estrelas
arrive early drink clean water popular saying goes cameroon restaurants highly rated suggested city residents wait line need arrive early meal made quickly excellent cuisine good service fair price delicious coconut bamboo camarao ate fortaleza great experience,positivo,5,positivo
cameroon reference always suggested talk going visit christmas dinner saturday popular restaurant close beach waiting time queue 50 minutes decided go branch located av engenheiro roberto freire 300 meters away pleasant surprise queues well attended quickly cordiality great variety tasty dishes chose specialty home regret frequenting restaurant families understand chosen special occasions make good impression prices within acceptable consider even cheap travel region southeast usually pay lot appearance shrimps addition beautiful environment famous cuisine exploit customers offering parking customers courtesy welcome highly recommended,positivo,5,positivo
menu personality hearty dishes great place excellent service value money justifies recommending coming back often christmas,positivo,5,positivo
good worth visit want write 100 characters liked restaurant like demanding evaluation,positivo,5,positivo
wonderful place everything good experience world visit ponta negra must besides well organized place beautiful clean great service prices fair compare amounts spent tours beaches taste spectacular food come ponta negra need experience,positivo,5,positivo
prawns good dish excellent fair price depending time day waiting line worth every time come christmas make point visiting,positivo,5,positivo
already classic countless options shrimp fish seafood recommend golden sevengrain rice pure banana earth shrimps black tip cabugi international classic yesterday ate flower salt simply spectacular careful dishes huge give two people day international minus three yesterday six us ordered three dishes drinks still packaging take leftovers would serve one person spent 390 reais shrimp gift alfredo served top fettuccine alfredo sauce spectacular soooo many shrimp large shrimp macaroni curiosity restaurant appeared coconut bamboo took cooks copied original menu shrimp still follows better options dishes worth,neutro,5,positivo
christmas trip wishes already gone cameroon sao paulo dream going christmas like franchises restaurants spread across brazil always want go head office apparently time surprises already like branches day week made reservation online large group already first big response everything organized bureaucracy arrived day confirmation part restaurant demonstrating professionalism attention physically beautiful restaurant pompous chic options cachacas logo entrance education host polite waiters super trained please customers sensational food came quickly plentiful price media drinks sensational desserts liking strong beer worth trying made point photographing part team worker lives salaries return work done well helps value ego reputation employer zero ten give 12 sensational,positivo,5,positivo
super grace guys tremendous advertising people arrive huge expectations leave disappointed weak seasoning salt shrimp taste worth,negativo,3,neutro
environment ok service less lobster heart palm white sauce parmesan please palate average price another occasion know lucky choose dish,positivo,3,neutro
shame became tourist turned coconut bamboo started kids dish came back cold fries waiter already showed dish already appeared said understood suggested able finish seeing menu go back like 10 minutes ready ready hot like fast food waiter wanted helpful poor guy arrived annoying every 2 minutes came ask everything liked finally regretted restaurant already good became commercial attraction tourists,negativo,3,neutro
hesitate come christmas meet us ask good muqueca always crowded place waits tables pleasant atmosphere,negativo,5,positivo
second time disappointing ordered imperial shrimp small shrimp tooth flour starch corndizian catupiry accompanied full rice bacon match worse shrimp still loaded ordered hidden strong cloying nothing light salad appetizer mozzarella bufalaque sundried tomato salad last left feeling sick worse account 28000,negativo,1,negativo
delicious food varied dishes shrimp seafood meat eat excellent value money service exceptional structure,positivo,5,positivo
first day dinner due located edge ponta negra wonderful loved place service today located hotel praiamar excellent,positivo,5,positivo
fresh food tasty caipirinha caja surreal good dishes also surreal good price expensive,positivo,5,positivo
restaurant simply perfect best dessert ever simple delicious recommend romeo juliet,positivo,5,positivo
spectacular food hearty dish two people eat well great option lunch dinner differentiated service reception even super attentive waiters,positivo,5,positivo
restaurant good value money excellent tasty dishes highly recommend returning ponta negra go,positivo,5,positivo
shrimps celebrate friend birthday thursday 20 people table service left something desired plus ordered serious dish think ever eaten dish really like,positivo,2,negativo
good food good price comrade shrimp p2ps r120 nice atmosphere favorite food portion shrimp sesame christmas 2 restaurants chain close another one ponta negra go 2,positivo,5,positivo
wonderful restaurant comfort quality excellent service highly recommend event times year,positivo,5,positivo
beautiful restaurant imposing varied menu well served dishes even better price great noise also excellent gather family friends couple looking calm intimate atmosphere recommend great restaurant,positivo,4,positivo
food wonderful environments business get early gets crowded worth experience,positivo,5,positivo
impeccable service pleasant atmosphere incredible food best restaurant christmas waiting time drink,positivo,5,positivo
restaurant impeccable service delicious food everything well taken care enchanting customers decoration cozy atmosphere,positivo,5,positivo
splendid everything perfect excellent service fabio quick orders delicious affordable price worth,positivo,5,positivo
almost everything perfect forgot brownie counter ok food good drink ok think waiter training solves questions,positivo,4,positivo
divine tasty food beautiful environment impeccable service fair price worth,positivo,5,positivo
food tasty photos local advertising equivalent menu correspond reality two days row thought could unlucky first time first day ordered shrimp dish came well served pasta little protein neutral flavor second day ordered file came disappointing shape,negativo,1,negativo
shrimp risotto well served 2 people calm environment dish take long arrive waiter friendly,positivo,5,positivo
come restaurant 20 years little disappointed would like eat fish good sauce shrimp speak good speak whiting grouper mere sole tilapia another remember red meat found octopus dish bad regretted fact good fish,negativo,4,positivo
excellent service refined tasty menu return minas recommending fair price varied menu,positivo,5,positivo
wonderful food diversity menu like doubts choosing many good options thank robson ferreira served well gave great suggestions dinner drinks also great food arrived quickly recommend,positivo,5,positivo
previous trip recommended restaurant time time good reserved time extremely pleasant place exceptional service vinicius delicious menu fair price,positivo,5,positivo
good service perfect food impeccable christmas 2 nights two dinner shrimps good tried imperial shrimp shrimp hidden chef dried meat pistachio pie everything good tasty dishes well served size 2 serves well 3 people congratulations,positivo,5,positivo
super cozy restaurant wide menu full flavor pork dishes super well served impeccable service fair price,positivo,5,positivo
toa recommended restaurant christmasbeautiful cozy atmosphere polite staffespecially fabiowho served spectacular foodwe ordered starter caprese shrimp main course shrimp gratinboth deliciousfair price impeccable servicewe definitely back,neutro,5,positivo
wonderful restaurant impeccable food perfect service dinner 3 times trip 5 days recommend,positivo,5,positivo
fast effective service carnival season booking anyway arrived 1930h wait seated left restaurant around 2100h realized lots people waiting get early want wait excellent food good quality well served fair value took photo good dessert,positivo,5,positivo
super attentive service young lady first service waiters super good people attentive worth price paid,positivo,5,positivo
everything exceptional starter dadinho shrimp main course super tasty cocada dessert best dinner impeccable good price,positivo,5,positivo
mae ordered dish corner mangrove shrimp rice crab 2 people serves 3 people quiet delicious food wonderful service super delicious atmosphere,positivo,5,positivo
amazing place great service excellent atmosphere food delicious well prepared,positivo,5,positivo
best shrimps ever eaten life unity beach ponte negra queue wait get much wait quick service amazing food bad miss homeland,negativo,5,positivo
unit mall natal self service spectacular everything best quality spectacular shrimp besides declaring recommend going,positivo,5,positivo
everything perfect service rating millllll waiter fabio words praise service wonderful food everything fast show,positivo,5,positivo
best restaurant eat prawns christmas delicious food wonderful service price problem huge queues justified quality location pont negra,positivo,5,positivo
restaurant full reason delicious food dishes plentiful great prices despite recommending serves two people eat easily four ate dish risotto graded prawns breaded stuffed catupiry recommend would definitely go back,positivo,5,positivo
restaurant served inspiration coco bamboo nau dishes flavor well served cheap restaurants excellent service,positivo,5,positivo
tasty delicious food international shrimp delicious friends couples left satisfied,positivo,5,positivo
super recommended clean place cozy tasty food friendly service exclusive end point beautiful bathroom demonstrates quality place clean bathroom check kitchen fear,positivo,5,positivo
starter croquettes pastel shrimp main course breaded shrimp catupiry dish 2 people ate 3 would 4 tasty pleasant atmosphere arrive early tables busy,neutro,5,positivo
great experience beautiful environment cold even place covered area children everything asked came well served delicious quickly super welltrained staff congratulations,positivo,5,positivo
like repeat great location impeccable service generous portions fair prices excellent option city,positivo,5,positivo
beautiful place well decorated attentive staff waiting fruit served thought interesting delicious neat dishes let go,positivo,5,positivo
excellent perfect location environment staff food everything good professionals come christmas miss,positivo,5,positivo
wonderful exceptional service short waiting time delicious food super recommend ordered starter main course dessert everything great,positivo,5,positivo
restaurant today 1112024 lunch period indication already enjoying trip holidays beaches rio grande norte everything impeccable service ambience music food drink found price fair dishes well served ordered starter black tip shrimp stuffed catupiry divine main course dijon shrimp closed dessert coconut ice cream wonderful tapioca definitely recommend,positivo,5,positivo
good service delicious food high number customers establishment take long deliver order really surprised,positivo,5,positivo
delicious ordered bruschetta potiguar croquette shrimp starter followed shrimp served romeo juliet dessert everything delicious back try new flavors,positivo,5,positivo
status place deliver everything already offers restaurants better dishes including noncoastal cities wait table 1h30 definitely worth terrible hibiscus tea lol,negativo,3,neutro
great rating incredible food fair price plentiful portions impeccable service waiter robson ordered shrimp italian bread cheese sauce pastel shrimp starter perfect words best shrimp ever eaten life,positivo,5,positivo
first january dinner restaurant positive reviews tryp arrived 18 30 already many people waiting 10 minutes already directed table ordered starter pastry dried meat cheese exceptional main course ordered shrimp served dish delicious northeastern taste dessert cocada tapioca ice cream tasty food attentive service cuts cost excellent benefit considering quality ate fair prices spacious environment well located would come back,neutro,5,positivo
divine food great value money great value wonderful food busy good idea get early,positivo,5,positivo
good food impeccable service well served dishes visited december waited table time worth worth visiting region,positivo,5,positivo
excellent place great service perfect food super polite attendant alyson great service,positivo,5,positivo
service wonderful food arrived around 7pm wait worth fair price great quality,positivo,5,positivo
tasty food options dishes exotic flavor service rating 10 always come back christmas,neutro,5,positivo
excellent option lunch dish 2 people well served service waiters team price expected range restaurant quality service,positivo,5,positivo
already knew returned believe better service remains excellent dishes dropped quality table 8 people 5 thought impression could better although say bad,negativo,4,positivo
wonderful experience great service perfect food corresponding prices quality left great impression,positivo,5,positivo
restaurant combo wonderful things food excellent service also ambience way come christmas need go sensational price worth every penny come prepared eat couple ordered starter ceviche dish two imperial prawns left people eating well room dessert left delighted great service waiter dario sparkling excellent house would also come back congratulations,positivo,5,positivo
sensational place wonderful food super well served dessert never tried life taca romeo julieta highly recommend waiter fabio super kind friendly incredible experience,positivo,5,positivo
good service wonderful food good value money incredible experience place would definitely come back,positivo,5,positivo
excellent place excellent structure food quality great service highly recommend event time year,positivo,5,positivo
wonderful place food excellent service could better received fabio impeccable good experience returned two,positivo,5,positivo
amazing restaurant service space food complain price highly recommend,negativo,5,positivo
restaurant good spacious atmosphere comfortable friendly waiters helpful tasty food dishes came quickly,positivo,5,positivo
perfect service airconditioned location accessible food waiters attentive kind always willing serve sai rio directions visit cameroons understand highly recommend,positivo,5,positivo
best restaurant christmas best international shrimp ever tried excellent service quick agility well served dishes ordered 4 people even leftovers surprised prices dishes website access menu prices ate places christmas worth price sure leave satisfied,positivo,5,positivo
food dishes extremely well served good worth fame organized environment pleasant service great service,positivo,5,positivo
good restaurant fair price incredible dessert fast service finishing dishes delicious food,positivo,5,positivo
good food dish 2 people problems 3 dish shrimp worth pastel shrimp starter super tasty stuffed meat sun medium dry overall atmosphere food rating 10,neutro,5,positivo
excellent service waiter jackson divine main course dessert romeo juliet normal ok,positivo,5,positivo
excellent choice beautiful restaurant kind staff excellent food quality fair prices,positivo,5,positivo
word sums excellent luxurious good taste tasty fair cost offer free parking good,positivo,5,positivo
unmissable going christmas miss dinner cameroon restaurant excellent service pleasant atmosphere sensational food,positivo,5,positivo
best restaurant ate christmas made reservation busy pleasant atmosphere beautiful staff extremely polite friendly dish served carefully quickly wonderful food easily served three four people menu partly served two people really worth visiting another day asked another dish delivered hotel came well served well packaged hot delivery loved,positivo,5,positivo
excellent dish imperial shrimp best shrimp ever eaten look like shrimp lol boss likes wanting eat kids liked,positivo,5,positivo
excellent value money extremely pleasant environment first time service definitely back one day,positivo,5,positivo
wonderful restaurant dessert reception everything spectacular super quiet price compared others offer half much,positivo,5,positivo
restaurant camaroes top family service given waiter cleber need recommend dish shrimp bonfimclaro taste better pastel camarao galaxia finish cup ice cream romeo julieta,positivo,5,positivo
excellent everything parking security noticed daughter difficulties getting around sent space close service restaurant also great food comments required,positivo,5,positivo
amazing restaurant get early wait line 2 nights week great,positivo,5,positivo
best restaurants serving seafood dishes shrimp quality incredible flavor visit natalrn miss restaurant impeccable service,neutro,5,positivo
excellent restaurant location service dishes wines everything perfect recommend couples also place meet friends,positivo,5,positivo
cool place delicious food plenty service fair prices lunch alone dishes two people made individual dishes menu great options,positivo,5,positivo
beautiful place good service crowded dinner better make reservation sophisticated quiet lunch dishes well served worth price,positivo,5,positivo
good food impeccable service beautiful structure incredible prices mistake choosing place enjoy regional cuisine,negativo,5,positivo
restaurant good structure easily accommodates high demand wellrequested waiting time long dishes served exceptional delicious emphasizing local cuisine giving great experience terms flavors even vegan options despite restaurant focusing seafood end fair price meal starter main course drinks dessert house 120 reais worth visit,positivo,5,positivo
place go want go back delicious super fast service,positivo,5,positivo
wife restaurant date 19081990 opportunity ordered croquette shrimp marmalade red fruits wonderful main course ordered lobster much dish think could shrimp proportion quantity rice served addition restaurant excellent service,positivo,5,positivo
delicious place food best shrimp service great dish well served starter pastel carne sol delicious,positivo,5,positivo
best seafood moqueca ever eaten excellent restaurant full care accessibility friendly service wonderful food beautiful women bathroom,positivo,5,positivo
delicious food pleasant atmosphere great service drinks cafe everything wonderful beautiful decor,positivo,5,positivo
great restaurant ponta negra natal rn quality service fair prices great atmosphere parking well located great variety dishes high quality recommend years improved,positivo,5,positivo
restaurant opens 1830 already people waiting quick service efficient attentive well served meals serve two people simple comfortable environment,positivo,5,positivo
friendly service family atmosphere cuisine respect shrimp catupiry 7 wonders world back,positivo,5,positivo
great recommend dishes everything great wonderful attention definitely back,positivo,5,positivo
amazing beautiful restaurant attentive helpful staff delicious food 2 times dinner restaurant ponta negra 1 time lunch shopping best christmas obs dinner queue waiting july possible make reservation cool space waiting order drinks starters,positivo,5,positivo
wonderful restaurant impeccable food fair price excellent service indispensable eat shrimp pastry starter miss trying better dijon shrimp dish,positivo,5,positivo
phenomenal shrimp next time arrive early get 1 hour queue minimum like restaurant queue waiting fun well served lounge waiting sit order drinks efficient organization dishes arrive quickly also delicious,positivo,5,positivo
good wonderful food fast service traditional christmas worth going however dripping fire close good another option ois self service,positivo,5,positivo
service waiters food passing atmosphere everything impeccable definitely back,positivo,5,positivo
unforgettable gastronomic experience besides delicious food cozy atmosphere view ponta negra stunning location excellent restaurant ideal romantic meal enjoy family friends prices fair affordable costbenefit exceptional full meal two people 200 reais less recommend cameroon restaurant visit natal unmissable stop want know better potiguar cuisine enjoy typical rio grande norte hospitality hesitate book special night taste delicacies enjoy memorable moments charming restaurant,positivo,5,positivo
everything great prepared wait line excellent food clean room excellent service,positivo,5,positivo
day 1206 ordered lobster thermidor extremely disappointed two lobster syrups almost disappeared sauce localized result consistency hard fibrous lobster bad flavor shrimp accompanied dish flavor experience end disaster positive points starter ceviche caipirinha yellow fruits two stars depending dish 1,negativo,2,negativo
know start praise loved place reception great service waiter excellent super attentive helpful friendly food dish ordered grilled dunes perfect tasty large portion orders dish 2 people serves 4 adults quiet presentation dish also incredible even kids loved,positivo,5,positivo
service rating 10 renato sergio parking customers good staff parking congratulations ordered pastel camarao catupiri delicious pastel grande neat ordered signature drinks sensational restaurantlllll dish corner mangrove best,positivo,4,positivo
lives reputation excellent restaurant exceptional service delicious food best price fair love,positivo,5,positivo
biggest doubts best representatives potiguar cuisine dishes starters dessert well served well seasoned ingredients earthy excellent service hear good things place values humans,positivo,5,positivo
delicious food excellent service ordered ceviche starter dish various seafood accompanied rice vegetables everything delicious filling refuse dessert values matching dishes ingredients quality worth,positivo,5,positivo
shrimps jewel potiguar cuisine simply perfect balance high quality service excellent food values potiguar roots well served dishes easily divided two different options several times place always someone know comes christmas ask question take shrimps,positivo,5,positivo
classic christmas excellent service fast tasty food beautiful atmosphere think value appropriate served,positivo,5,positivo
cameroon restaurant great example success continues last years service fast tasty dishes fair prices pleasant atmosphere rating 10,positivo,5,positivo
ordered catupiry stuffed shrimp dish came well served two people delicious large shrimp also came creamy risotto ordered starter parmesan cream tomato sauce shrimp surprising great kids menu worth expensive offer option want shrimp recommended would go back children options could improved,positivo,5,positivo
wonderful food first class service beautiful cozy atmosphere great location,positivo,5,positivo
ordered perfect imperial prawns generous portion would serve 4 people fair price perfect service stages tip arrive hungry long waiting line,positivo,5,positivo
doubt best restaurant,negativo,5,positivo
good food great service order arrived quickly thought similar coco bamboo impressive,positivo,4,positivo
restaurant corresponds exactly expected food good experience shrimp excellent starter ordered real crab cones pastries shrimp catupiry accompanied cold beer main course international shrimp good dessert taca romeo julieta fair price welcoming atmosphere could notice house frequented mainly locals approved rating 10,positivo,5,positivo
excellent place wonderful food ate international shrimp well served delicious beautiful environment great service christmas miss visit,positivo,5,positivo
amazing food enjoyed catching flight today came back able eat different things everything ate great service good surreal desserts good price,positivo,5,positivo
fantastic restaurant good service wonderful food comes super fast restaurant fair price quality,positivo,5,positivo
best gastronomic experience christmas beautiful place pleasant quick preparation dish arrived 7pm lucky 8pm queue around corner,positivo,5,positivo
curious restaurant great experience delicious food love want go back,positivo,5,positivo
great place beautiful clean fantastic food excellent service small queue waiting 15 minutes food arrived less 10 minutes would come back often,positivo,5,positivo
camaroes natal ponta negra restaurant excellent great atmosphere exceptional food everything delicious highly recommend,positivo,5,positivo
refined atmosphere comfortable attentive staff wonderful food fair prices sometimes tried several delicious dishes others perfect loved,positivo,5,positivo
restaurant camaroes everything good reception service rating 10 delicious dishes affordable price count beautiful place,positivo,5,positivo
place exceeds expectations lactose intolerant found dishes could consume fear like fish shrimp place worth many options unbelievable prices portion size ate took away next day service words describe attentive let us know,neutro,5,positivo
wonderful service food everything ordered delicious count super cold drink ordered super generous chef dish definitely back,positivo,5,positivo
restaurant large space helpful staff delicious food fair price popular arrive early,positivo,4,positivo
congratulations service service quality preparations flavor presentation dishes mainly receptivity people intolerance mushroom risotto wonderful totally vegan vegan brigadeiro never anything like perfect bathrooms,negativo,5,positivo
great value money extremely cozy place fair prices service left little desired,positivo,5,positivo
everything organized impeccable attentive professionals tasty food pleasant atmosphere,positivo,5,positivo
spectacular food divine dessert perfect service wonderful atmosphere complain best restaurant ever,negativo,5,positivo
best restaurant christmas excellent value money dishes well served ordered bruschetta potiguar true dadinho tapioca delicious two caips caja take place corner mangue dish indecent good besides perfect food service also excellent,positivo,5,positivo
excellent service provided waiter afranio helpful attentive polite atmosphere exceptional food never disappoints regardless dish menu highly recommend,positivo,5,positivo
think perfect restaurant perfect food ordered imperial shrimp lots shrimp pie creamy rice perfect excellent service,positivo,5,positivo
best seafood restaurant exceptional service wonderful food affordable price beautiful place fast service full food arrives quickly,positivo,5,positivo
despite waiting 40 minutes carnival high season service inside room impeccable fast best 5 days christmas,positivo,5,positivo
beautiful facilities reasonable service normal food high price sure restaurant return normal,positivo,4,positivo
good food fair price location easy access well served dishes dishes speak 2 people eat 3 calmly,positivo,5,positivo
excellent service waiting line makes enjoyable tasty dishes generous portions fair price pleasant atmosphere back camaroes 20 years still great good tradition,positivo,5,positivo
cozy atmosphere delicious food service rating 1000 efficient team order comes quickly would like thank jonatas excellent service,positivo,5,positivo
excellent service good food good dish impeccable expectations high time recommended restaurant says gluten options fact two options extensive menu options marked menu difficult identify choosing two options super gastronomic experience simple quality well executed surprises,positivo,4,positivo
shrimp twice trip good always full delicious waiting area drink snack watch time pass wonderful service delicious food plenty compliments congratulations tip want wait less arrive 7 pm,positivo,5,positivo
service top food recommend friends family definitely back soon without doubt loved,negativo,5,positivo
mustvisit goes christmas wonderful restaurant aspects impeccable service wonderful food although restaurant demand dishes come quickly queue waits high turnover want take risk waiting line recommend arriving early lunch dinner,neutro,5,positivo
place food dessert service everything wonderful education friendliness people work exceptional wonderful food wonderful night super pleasant family recommend 110,positivo,5,positivo
excellent surprise christmas beautiful restaurant good food nice atmosphere perfect service fair price recommend christmas,positivo,5,positivo
requested restaurant waited line 1h local people said little yet regarding service thought ok regarding food ordered international shrimp dish meet expectations rice needed cooked type dish needed sauce last spoonfuls ate rice come quantity shrimp suitable size dish straw potatoes also came little set work ok bad left feeling could better besides food medium seasoning good drinks ratio ordered glass port wine delicious good price best competing restaurants soda right measure sugar delicious juice strawberry orange also delicious really surprised dessert ordered supreme pistachio easily best dessert able try trip atmosphere cozy restaurant beautiful bathroom beautiful clean also overall recommend dishes would like try,positivo,4,positivo
excellent service tasty food fair price recommend sad go back,negativo,5,positivo
simply fantastic delicious food perfect service incredible atmosphere unmissable summary,positivo,5,positivo
high season queue wait absurd informed arrived restaurant attention table service waiter impeccable order take long delicious dish chosen,neutro,5,positivo
loved experience cameroon service rating 10 cold beer crunching wonderful food restaurant save memory come back often,positivo,5,positivo
traditional shrimps christmas plentiful portions cozy atmosphere privileged parking food ideal quality family gatherings pleasant waiting room recommend dish shrimps chef,positivo,4,positivo
excellent restaurant first service fair price dish better recommend,positivo,5,positivo
every holiday travel cameroon city way go dishes well served shrimp everything well done service tasting service reserve good change worth every penny,positivo,5,positivo
restaurant well located well organized excellent general cleanliness exceptional food excellent service highly recommend,positivo,5,positivo
clean shrimp tasty beers also good nonalcoholic drinks tasty,positivo,5,positivo
super famous christmas know chain dishes similar coconut bamboo cheap unit side hotel praiamar express back 7pm night time already queue waiting although restaurant large pleasant atmosphere several options dishes menu ate traditional dish breaded shrimps greek rice serves well 3 people worth visit,positivo,4,positivo
family atmosphere delicious food fair price suggestions starters loved pastel shrimp caprese shrimp,positivo,5,positivo
beautiful environment well decorated organization excellent well attended table reception food also excellent notes ingredients quality preparation dishes missed options dishes lactose,positivo,5,positivo
excellent food dishes 2 people feed 3 easily however best restaurant impeccable service waiter josenildo made everything best experience possible,positivo,5,positivo
good food friendly service fast fair price pleasant atmosphere finally great experience ate mangrove dessert cocada tapioca ice cream incredible definitely back,positivo,5,positivo
pleasant atmosphere delicious food exceptional everything good tasty drinks dish 4 comes well served,positivo,4,positivo
food excellent service well located cozy family atmosphere take long arrive dish chose,positivo,5,positivo
ordered breaded prawns stuffed catupiry creamy rice curd cheese wonderful divine dish days would eaten times price swear dish 2 serves 3 people waiter answered friendly helpful sitting next air conditioning even offered cover loved experience worth,positivo,5,positivo
addition excellent food service everyone staff parking lot concierge waiters none competing chains served well attention children worthy note friendliness eye service restaurant congratulations,positivo,5,positivo
queue waiting first little discouraged order arrived purpose quickly discovered queue good wonderful service,negativo,5,positivo
first quality service beautiful place decoration impeccable cleanliness hearty delicious dishes fair price,positivo,5,positivo
pleasant atmosphere tasty food impeccable service excellent gastronomic experience good,positivo,5,positivo
like main course seasoning really liked shrimp pastry desserts go back,positivo,3,neutro
beautiful environment well trained people welcome customers excellent tasty dishes best affordable prices worth visiting taste delicious dishes,positivo,5,positivo
best restaurant seafood already tasty dishes raw material extreme quality fair price dish two people serve three calmly service top notch dinner days trip already looking forward returning excellent,positivo,5,positivo
september birthday high season restaurant structure flow give top marks really everything spectacular security street even waiter dynamism friendly talk food people wonderful back soon,positivo,5,positivo
restaurant exceptional twice trip magnificent atmosphere wonderful food fair price especially accustomed prices sao paulo lol stomach growling remember shrimp sertao dom alfredo,positivo,5,positivo
highly recommend variety delicious prices budgetfriendly firsttime service get ready wait line worth,positivo,5,positivo
years ago returned quality increased shrimps differentiated restaurant quality service impeccable dishes fair price inclusive menu lactose intolerant recommend eyes closed shrimp lovers love,positivo,5,positivo
famous pastry came cold filling asked change pastry enough floripa market shrimp dish ordered half portion everything two people super well served honestly like cream milk cheese flavor removed shrimp menu offers varied options differentiated suggest improving menu ah friendly competent waiters,positivo,3,neutro
delicious highly recommend super varied menu kind waiters comfortable good price congratulations,positivo,5,positivo
excellent service helpful polite pleasant atmosphere live show delicious parrillas,positivo,5,positivo
perfect service quick service delicious food well served fair price appropriate refined atmosphere,positivo,5,positivo
excellent restaurant delicious food garcos self level education well prepared shrimps great dishes,positivo,5,positivo
dinner several nights tried many tasty dishes full careful service well trained staff special thanks anderson sergio attended dinner last day,positivo,5,positivo
restaurant service good atmosphere tasty food tasty orders risotto shrimp served 3 people quiet good,positivo,5,positivo
placed order asked would take pepper informed preparation meal started feel ill pepper mixed ingredients time understand list ingredients nonmain dishes unpleasant disregard allergies intolerance customers,negativo,2,negativo
visited restaurant group 11 people forgot order friends eat see forgotten prepare dish ok made dish file risotto fungui total disappointment cold risotto heat much warm file total 3 escalopes meat risotto ate 1 piece half risotto total 3 bites 3 people tasted assertive cold friends together loved except wife called manager waiter time pay bill frustrated billing deduction dish clearly eat think ate file reduce dish 50 motivate us gastronomic experience today say zero chance going back frustrated beautiful night worse city going meal frustration,negativo,1,negativo
nice place menu excellent options obviously shrimp chef several options dishes quick service cuts prices high compared places coconut bamboo outback style,neutro,4,positivo
simply wonderful everything food service booked table dinner solo trip kind enough provide individual dish view dinner dishes two people left happy recommend eyes closed,positivo,5,positivo
christmas let go shrimps best gastronomic experience city starter caprese much repeated diakkk main course ate imperial demonstrada djon crispy rhizoto incredible dessert repeated petit gateau chocolate indisputably perfect every time time awardwinning incredible service ricardo erivaldo thank much gift,positivo,5,positivo
love creative restaurant vast knowledge local cuisine prawns lobsters excellent wine list ate prawns lobsters roasted vegetables white wine unfiltered recommend starters great bathrooms beautiful christmas super attentive service,positivo,5,positivo
